Time,Normal Signal
0.0,0.0
0.001,0.06279051952931337
0.002,0.12533323356430426
0.003,0.18738131458572463
0.004,0.2486898871648548
0.005,0.3090169943749474
0.006,0.368124552684678
0.007,0.42577929156507266
0.008,0.4817536741017153
0.009000000000000001,0.5358267949789967
0.01,0.5877852522924731
0.011,0.6374239897486896
0.012,0.6845471059286887
0.013000000000000001,0.7289686274214116
0.014,0.7705132427757893
0.015,0.8090169943749475
0.016,0.8443279255020151
0.017,0.8763066800438637
0.018000000000000002,0.9048270524660196
0.019,0.9297764858882513
0.02,0.9510565162951535
0.021,0.9685831611286311
0.022,0.9822872507286886
0.023,0.9921147013144779
0.024,0.9980267284282716
0.025,1.0
0.026000000000000002,0.9980267284282716
0.027,0.9921147013144779
0.028,0.9822872507286887
0.029,0.9685831611286311
0.03,0.9510565162951536
0.031,0.9297764858882515
0.032,0.9048270524660195
0.033,0.8763066800438635
0.034,0.844327925502015
0.035,0.8090169943749475
0.036000000000000004,0.7705132427757893
0.037,0.7289686274214118
0.038,0.6845471059286888
0.039,0.6374239897486899
0.04,0.5877852522924732
0.041,0.5358267949789967
0.042,0.4817536741017152
0.043000000000000003,0.4257792915650725
0.044,0.36812455268467814
0.045,0.3090169943749475
0.046,0.24868988716485482
0.047,0.18738131458572457
0.048,0.1253332335643041
0.049,0.06279051952931358
0.05,1.2246467991473532e-16
0.051000000000000004,-0.06279051952931335
0.052000000000000005,-0.12533323356430429
0.053,-0.18738131458572432
0.054,-0.24868988716485457
0.055,-0.3090169943749473
0.056,-0.3681245526846779
0.057,-0.42577929156507266
0.058,-0.4817536741017154
0.059000000000000004,-0.5358267949789968
0.06,-0.587785252292473
0.061,-0.6374239897486896
0.062,-0.6845471059286887
0.063,-0.7289686274214113
0.064,-0.7705132427757894
0.065,-0.8090169943749473
0.066,-0.8443279255020153
0.067,-0.8763066800438636
0.068,-0.9048270524660198
0.069,-0.9297764858882515
0.07,-0.9510565162951535
0.07100000000000001,-0.9685831611286312
0.07200000000000001,-0.9822872507286887
0.073,-0.9921147013144778
0.074,-0.9980267284282716
0.075,-1.0
0.076,-0.9980267284282716
0.077,-0.9921147013144779
0.078,-0.9822872507286887
0.079,-0.9685831611286311
0.08,-0.9510565162951536
0.081,-0.9297764858882512
0.082,-0.9048270524660196
0.083,-0.8763066800438634
0.084,-0.844327925502015
0.085,-0.8090169943749476
0.08600000000000001,-0.770513242775789
0.08700000000000001,-0.7289686274214116
0.088,-0.684547105928689
0.089,-0.6374239897486903
0.09,-0.5877852522924734
0.091,-0.5358267949789971
0.092,-0.4817536741017153
0.093,-0.425779291565073
0.094,-0.36812455268467786
0.095,-0.3090169943749477
0.096,-0.2486898871648545
